STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AL,Albania,2017,,1667,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AL,Albania,2018,,1871,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AL,Albania,2019,,2108,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AL,Albania,2020,,2380,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AL,Albania,2021,,2388,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AL,Albania,2022,,2869,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AL,Albania,2023,,3624,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AT,Austria,2016,,20593,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AT,Austria,2017,,21858,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AT,Austria,2018,,22412,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AT,Austria,2019,,23018,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,AT,Austria,2020,,23227,,,,,
