STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,SEX,Sex,AGE,Age,ATTAINMENT_LEV,Educational attainment level,EDUCATION_FIELD,Field of education,MEASURE,Measure,INCOME,Income,BIRTH_PLACE,Place of birth,MIGRATION_AGE,Age at migration,EDU_STATUS,Education status,LABOUR_FORCE_STATUS,Labour force status,DURATION_UNEMP,Unemployment duration,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,WORK_TIME_ARNGMNT,Work time arrangement,QUESTIONNAIRE,Questionnaire name,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,ROU,Romania,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,PT,Part-time,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2023,,,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,ROU,Romania,_T,Total,Y25T34,From 25 to 34 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,PT,Part-time,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2023,,,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,CRI,Costa Rica,_T,Total,Y25T34,From 25 to 34 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,PT,Part-time,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2023,,,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,CRI,Costa Rica,_T,Total,Y55T64,From 55 to 64 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,PT,Part-time,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2023,,,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,CRI,Costa Rica,_T,Total,Y25T34,From 25 to 34 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,PT,Part-time,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2020,,,,A,Normal value,C,Confidential statistical information,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,CRI,Costa Rica,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,PT,Part-time,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2020,,,,A,Normal value,C,Confidential statistical information,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,CRI,Costa Rica,_T,Total,Y55T64,From 55 to 64 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,FT,Full-time,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2020,,,,A,Normal value,C,Confidential statistical information,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,CRI,Costa Rica,_T,Total,Y55T64,From 55 to 64 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,_T,Total,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2020,,,,A,Normal value,C,Confidential statistical information,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,LVA,Latvia,_T,Total,Y25T34,From 25 to 34 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,PT,Part-time,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2020,,,,A,Normal value,C,Confidential statistical information,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_EARN_ALL(1.0),Education and earnings (EARNINGS) (full dataset),I,LVA,Latvia,_T,Total,Y55T64,From 55 to 64 years,ISCED11A_5T8,Tertiary education,F05T07,"Science, technology, engineering and mathematics",EARN_RELATIVE,Relative earnings,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_EARN_WR_ISCED11A_5T8,Percentage of earnings of workers with tertiary educational attainment,OBS,Observed,PT,Part-time,EARNINGS_FIELD,LSO-EARNINGS cyclical data collection on field of study,A3,Triennial,2020,,,,A,Normal value,C,Confidential statistical information,0,Units,1,One
