Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
United States,USA,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,17.8101,18.06285,17.98553,..,..,17.16296,16.45358,16.0207,15.75397,15.70134,15.8803,16.21813,16.5562,15.35388,15.76347,17.36795,17.92021,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,7.03273,5.91165,..,6.13226,..,..,..,..,..,..,..,13.78547,..,..,..,18.14513,17.72032,19.35248,20.62859,18.82147,..,..,..,..,..,..
Algeria,DZA,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,..,25.3828,..,24.01219,29.10561,26.11731,..,..,..,31.21939,31.06931,..,34.23498,..,..,..,..,..,..,..
American Samoa,ASM,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,..,10.37736,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,34.48276,45.94595,37.77778,34.92063,38.09524,..,23.80952,..,..,..,7.31707,..,..,2.12766,5.55556,3.52941,13.46154,13.58025,..,..,..,..,..,..
Angola,AGO,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,18.60465,..,..,..,..,..,..,..,..,..,..,..,..,12.01046,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,..,..,..,25,9.18919,14.81481,4.72441,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,13.78745,12.85224,12.20761,14.45357,13.6301,13.62162,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,..,..,..,..,16.29907,..,..,..,..,13.29993,11.26061,14.7225,15.1664,17.14432,..,..,..,..,..,..
Aruba,ABW,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,22.26277,25.69444,24.12451,13.92045,15,25.30612,12.59259,22.66667,23.77622,9.82456,20.54264,13.39031,15.10297,..,..,0,2.22222,..,..,..,..,..,..,..,..,..
